-10, 407.469
-9.9, 407.584
-9.8, 407.699
-9.7, 407.814
-9.6, 407.928
-9.5, 408.043
-9.4, 408.158
-9.3, 408.273
-9.2, 408.387
-9.1, 408.502
-9, 408.617
-8.9, 408.732
-8.8, 408.847
-8.7, 408.961
-8.6, 409.076
-8.5, 409.191
-8.4, 409.306
-8.3, 409.421
-8.2, 409.535
-8.1, 409.65
-8, 409.765
-7.9, 409.88
-7.8, 409.995
-7.7, 410.109
-7.6, 410.224
-7.5, 410.339
-7.4, 410.454
-7.3, 410.569
-7.2, 410.683
-7.1, 410.798
-7, 410.913
-6.9, 411.028
-6.8, 411.142
-6.7, 411.257
-6.6, 411.372
-6.5, 411.487
-6.4, 411.602
-6.3, 411.716
-6.2, 411.831
-6.1, 411.946
-6, 412.061
-5.9, 412.176
-5.8, 412.29
-5.7, 412.405
-5.6, 412.52
-5.5, 412.635
-5.4, 412.75
-5.3, 412.864
-5.2, 412.979
-5.1, 413.094
-5, 413.209
-4.9, 413.323
-4.8, 413.438
-4.7, 413.553
-4.6, 413.668
-4.5, 413.783
-4.4, 413.897
-4.3, 414.012
-4.2, 414.127
-4.1, 414.242
-4, 414.357
-3.9, 414.471
-3.8, 414.586
-3.7, 414.701
-3.6, 414.816
-3.5, 414.931
-3.4, 415.045
-3.3, 415.16
-3.2, 415.275
-3.1, 415.39
-3, 415.504
-2.9, 415.619
-2.8, 415.734
-2.7, 415.849
-2.6, 415.964
-2.5, 416.078
-2.4, 416.193
-2.3, 416.308
-2.2, 416.423
-2.1, 416.538
-2, 416.652
-1.9, 416.767
-1.8, 416.882
-1.7, 416.997
-1.6, 417.112
-1.5, 417.226
-1.4, 417.341
-1.3, 417.456
-1.2, 417.571
-1.1, 417.685
-1, 417.8
-0.9, 417.915
-0.8, 418.03
-0.7, 418.145
-0.6, 418.259
-0.5, 418.374
-0.4, 418.489
-0.3, 418.604
-0.2, 418.719
-0.1, 418.833
-1.87905e-14, 418.948
0.1, 419.063
0.2, 419.178
0.3, 419.293
0.4, 419.407
0.5, 419.522
0.6, 419.637
0.7, 419.752
0.8, 419.867
0.9, 419.981
1, 420.096
1.1, 420.211
1.2, 420.326
1.3, 420.44
1.4, 420.555
1.5, 420.67
1.6, 420.785
1.7, 420.9
1.8, 421.014
1.9, 421.129
2, 421.244
2.1, 421.359
2.2, 421.474
2.3, 421.588
2.4, 421.703
2.5, 421.818
2.6, 421.933
2.7, 422.048
2.8, 422.162
2.9, 422.277
3, 422.392
3.1, 422.507
3.2, 422.621
3.3, 422.736
3.4, 422.851
3.5, 422.966
3.6, 423.081
3.7, 423.195
3.8, 423.31
3.9, 423.425
4, 423.54
4.1, 423.655
4.2, 423.769
4.3, 423.884
4.4, 423.999
4.5, 424.114
4.6, 424.229
4.7, 424.343
4.8, 424.458
4.9, 424.573
5, 424.688
5.1, 424.802
5.2, 424.917
5.3, 425.032
5.4, 425.147
5.5, 425.262
5.6, 425.376
5.7, 425.491
5.8, 425.606
5.9, 425.721
6, 425.836
6.1, 425.95
6.2, 426.065
6.3, 426.18
6.4, 426.295
6.5, 426.41
6.6, 426.524
6.7, 426.639
6.8, 426.754
6.9, 426.869
7, 426.983
7.1, 427.098
7.2, 427.213
7.3, 427.328
7.4, 427.443
7.5, 427.557
7.6, 427.672
7.7, 427.787
7.8, 427.902
7.9, 428.017
8, 428.131
8.1, 428.246
8.2, 428.361
8.3, 428.476
8.4, 428.591
8.5, 428.705
8.6, 428.82
8.7, 428.935
8.8, 429.05
8.9, 429.165
9, 429.279
9.1, 429.394
9.2, 429.509
9.3, 429.624
9.4, 429.738
9.5, 429.853
9.6, 429.968
9.7, 430.083
9.8, 430.198
9.9, 430.312
10, 430.427
